id,Type,Name,Grade,District,Lat,Lon,Reviewer_Nationality
196,Restaurants,SEA LION RESTAURANT,A,Gampaha,79.92739077,6.978059805,United Kingdom
197,Restaurants,HOLLYWOOD COLOMBO,A,Colombo,80.01667,6.86667,Ireland
198,Restaurants,BROADWAY RESTAURANT,A,Colombo,79.880242,6.838232,Denmark
199,Restaurants,PUBS AND PLACES - HOMAGAMA,A,Colombo,80.00584169,6.84848797,United Kingdom
200,Restaurants,SHANGHAI CHINESE RESTAURANT,B,Colombo,79.866418,6.842919,United Kingdom
201,Restaurants,HOTEL 198,B,Gampaha,79.84789,7.252517,United Kingdom
202,Restaurants,SHAN RESTAURANT,A,Kandy,80.69018737,7.251414263,Ireland
203,Restaurants,SENEK VIN RESTAURANT,A,Galle,80.223192,6.043279,Turkey
204,Restaurants,SANHINDA LEISURE CENTER,A,Colombo,79.893438,6.877014,Ukraine
205,Restaurants,SANJEEWA RESTAURANT,A,Gampaha,80,7.13333,Australia
206,Restaurants,SANORA RESTAURANT,A,Colombo,79.945297,6.834129,Israel
207,Restaurants,SANSUCHI CAFE,A,Gampaha,80,7.13333,United Kingdom
208,Restaurants,SAPHIRE KAROKE RESTAURANT,A,Colombo,80.01667,6.86667,United Kingdom
209,Restaurants,SOPRANOS,A,Colombo,80.01667,6.86667,United Kingdom
210,Restaurants,SOLIS TOURIST RESTAURANT,A,Colombo,79.89621755,6.909504175,United Kingdom
211,Restaurants,SINTHAO CHINESE RESTAURANT,A,Colombo,79.880242,6.838232,Luxembourg
212,Restaurants,SILVER SPOON RESTAURANT,A,Colombo,79.913892,6.897711,Ireland
213,Restaurants,SHINSHIO CHINESE RESTAURANT,A,Colombo,79.893438,6.877014,United Kingdom
214,Restaurants,SHERRY LAND RESTAURANT,A,Gampaha,79.843249,7.206416,Russia
215,Restaurants,XILATION CHINESE RESTAURANT,A,Colombo,80.01667,6.86667,Norway
216,Restaurants,SPOON & PAN RESTAURANT,A,Gampaha,79.914926,6.951178,Canada
217,Restaurants,SRI JAYA SADA NIKETHANAYA,A,Kurunegala,80.25,7.75,Israel
218,Restaurants,SUMIHIRI ARUNALOKA HOTEL & RESTAURANT,A,Galle,80.062884,6.209759,Malaysia
219,Restaurants,PIER 3 FLOATING RESTAURANT,A,Colombo,80.01667,6.86667,United Kingdom
220,Restaurants,PARADISE CAFE & RESTAURANT,A,Anuradhapura,80.30001666,8.161252739,Canada
221,Restaurants,ROYAL PALACE RESTAURANT,A,Ratnapura,80.4022975,6.680369112,Spain
222,Restaurants,PENINSULA HOLIDAY RESTAURANT,A,Jaffna,80.00917182,9.664925571,United Kingdom
223,Restaurants,PANORAMA RESTAURANT (KOTTAWA),A,Colombo,79.96523447,6.841388419,United Kingdom
224,Restaurants,SIYANA AWANHALA,A,Colombo,80.08171057,6.908836328,Malta
225,Restaurants,PARK STREET CAFE,A,Colombo,80.01667,6.86667,United Kingdom
226,Restaurants,ELEPHANT BAY RESTAURANT,A,Kegalle,80.38629779,7.300434276,Gibraltar
227,Restaurants,UNITED RESTAURANT,A,Colombo,79.89621755,6.909504175,United Kingdom
228,Restaurants,VAENI SEA RESTAURANT AND BAR,A,Colombo,80.01667,6.86667,Ireland
229,Restaurants,W.H. RESTAURANT,A,Matara,80.422128,5.974033,United Kingdom
230,Restaurants,WEST INN CHINESE RESTAURANT,A,Colombo,80.01667,6.86667,Argentina
231,Restaurants,WINTER RESTAURANT,A,Colombo,80.01667,6.86667,Germany
232,Restaurants,CHANVEL RESTAURANT (BATTARAMULLA),A,Colombo,79.913892,6.897711,Ireland
233,Restaurants,LOTUS LEAF RESTAURANT,A,Colombo,80.01667,6.86667,Australia
234,Restaurants,LUXMI RESTAURANT,A,Jaffna,80.02834207,9.731553819,United Kingdom
235,Restaurants,LYONS,A,Kandy,80.625828,7.295044,United Kingdom
236,Restaurants,RODEO PUB N RESTURANT,B,Gampaha,79.843249,7.206416,United Kingdom
237,Restaurants,ROYAL PARK RESTAURANT,A,Colombo,79.89621755,6.909504175,Australia
238,Restaurants,LAGOON BREEZE FOOD COURT,A,Colombo,80.01667,6.86667,Abkhazia Georgia
239,Restaurants,LANKA HANAJIMA RESTAURANT,A,Galle,80.3622999,5.973516323,United Kingdom
240,Restaurants,LAVINIA BREEZE,A,Colombo,79.866418,6.842919,United Kingdom
241,Restaurants,ROYAL RESTAURANT,A,Colombo,79.9746984,6.812132751,United Kingdom
242,Restaurants,LEISUREWORLD WATER PARK,A,Colombo,80.09876733,6.918263308,Australia
243,Restaurants,LETONA CAFE,A,Gampaha,80.03348605,7.085934943,United Kingdom
244,Restaurants,RUKMALI AVANHALA,B,Polonnaruwa,80.991192,7.93454,Ireland
245,Restaurants,ROYAL HOST RESTAURANT,A,Colombo,79.893438,6.877014,Netherlands
246,Restaurants,ROYAL GARDEN,A,Kandy,80.625828,7.295044,United Kingdom
247,Restaurants,SEMONDU,A,Colombo,80.01667,6.86667,Canada
248,Restaurants,WIP RESTAURANT,A,Colombo,80.01667,6.86667,India
249,Restaurants,ROYAL RESTAURANT (PADAVI),A,Anuradhapura,80.76903946,8.891177679,United Kingdom
250,Restaurants,AYESHA RESTAURANT AND PUB,A,Kalutara,79.99889854,6.43264941,Ireland
